node             50%	sd	2.5%	97.5%	Rhat	n.eff   scen    NMA		
SMD[2,1]	-0.129	0.084	-0.2943	0.0361	1.0012	8600	1	1
SMD[3,1]	-0.1371	0.0975	-0.3284	0.0554	1.001	27000	1	1
SMD[3,2]	-0.0085	0.1277	-0.2549	0.2449	1.0011	10000	1	1
SMD[2,1]	-0.1492	0.0836	-0.3153	0.0143	1.0015	3600	2	1
SMD[3,1]	-0.1421	0.0988	-0.3322	0.0573	1.001	27000	2	1
SMD[3,2]	0.0066	0.1291	-0.2411	0.2682	1.0011	13000	2	1
SMD[2,1]	-0.1676	0.0854	-0.3397	-0.0046	1.001	26000	3	1
SMD[3,1]	-0.145	0.1015	-0.3433	0.0578	1.001	27000	3	1
SMD[3,2]	0.0249	0.132	-0.2304	0.2884	1.001	27000	3	1
SMD[2,1]	-0.1879	0.0873	-0.3645	-0.0219	1.0013	5100	4	1
SMD[3,1]	-0.1495	0.1069	-0.354	0.0663	1.001	27000	4	1
SMD[3,2]	0.0387	0.1369	-0.2171	0.3155	1.0012	8700	4	1
SMD[2,1]	-0.2093	0.0895	-0.3916	-0.0386	1.0012	9100	5	1
SMD[3,1]	-0.1529	0.1081	-0.3685	0.0644	1.001	20000	5	1
SMD[3,2]	0.0575	0.1399	-0.2117	0.3384	1.001	21000	5	1
SMD[2,1]	-0.1086	0.0816	-0.2716	0.0509	1.0014	4700	6	1
SMD[3,1]	-0.1339	0.0958	-0.3168	0.0572	1.001	27000	6	1
SMD[3,2]	-0.025	0.1245	-0.2628	0.2235	1.0013	6400	6	1
SMD[2,1]	-0.1274	0.0838	-0.2919	0.035	1.0014	4100	7	1
SMD[3,1]	-0.138	0.0971	-0.3294	0.0515	1.001	27000	7	1
SMD[3,2]	-0.0109	0.1276	-0.2593	0.2391	1.0014	4700	7	1
SMD[2,1]	-0.1482	0.0834	-0.3159	0.0132	1.0014	4400	8	1
SMD[3,1]	-0.1404	0.099	-0.3344	0.0602	1.001	27000	8	1
