node    mean	sd	2.5%	97.5%	Rhat	n.eff	scen    MA 	
1	1.5793	0.4578	0.6843	2.4719	1.0013	5800	1	1
2	1.5247	0.4687	0.5977	2.4302	1.0013	6000	2	1
3	1.4107	0.4916	0.4223	2.332	1.0014	4900	3	1
4	1.2942	0.4923	0.2921	2.2254	1.001	27000	4	1
5	1.2248	0.5052	0.1953	2.1858	1.0011	14000	5	1
6	1.6452	0.47	0.7114	2.5561	1.001	20000	6	1
7	1.5843	0.4688	0.6357	2.4788	1.0012	7200	7	1
8	1.4788	0.4821	0.4939	2.4046	1.0009	27000	8	1
9	1.36	0.5055	0.3398	2.3277	1.001	27000	9	1
10	1.2866	0.4969	0.2652	2.2334	1.001	20000	10	1
11	1.76	0.4562	0.8352	2.6464	1.001	27000	11	1
12	1.697	0.4814	0.7495	2.6071	1.002	27000	12	1
13	1.5892	0.4794	0.6178	2.501	1.0011	13000	13	1
14	1.4614	0.4826	0.4839	2.3938	1.0011	15000	14	1
15	1.3935	0.4978	0.4066	2.3289	1.0013	5800	15	1
16	1.8695	0.4581	0.9664	2.7522	1.0011	11000	16	1
17	1.8069	0.4628	0.8813	2.6971	1.0011	15000	17	1
18	1.681	0.4654	0.7461	2.5754	1.0019	2000	18	1
19	1.555	0.4753	0.6071	2.4723	1.0017	2800	19	1
20	1.4822	0.4761	0.5398	2.4005	1.001	25000	20	1
21	1.92	0.4515	1.0151	2.8006	1.0013	5000	21	1
22	1.8622	0.4618	0.9368	2.7446	1.0019	2000	22	1
23	1.7287	0.4648	0.7974	2.623	1.0013	5200	23	1
24	1.5996	0.4718	0.6557	2.5012	1.001	27000	24	1
25	1.5288	0.4687	0.602	2.4334	1.0014	4200	25	1
26	0.6349	0.2779	0.0735	1.1786	1.001	24000	1	2
27	0.6113	0.2746	0.0652	1.1433	1.0011	13000	2	2
28	0.5749	0.277	0.0154	1.108	1.0011	17000	3	2
29	0.542	0.2773	-0.0113	1.0827	1.0011	14000	4	2
30	0.514	0.2758	-0.0439	1.0426	1.0015	3700	5	2
31	0.6695	0.2774	0.1174	1.2026	1.0012	8900	6	2
32	0.6462	0.2759	0.0842	1.1773	1.0012	7600	7	2
33	0.6053	0.277	0.0454	1.1423	1.0015	3800	8	2
34	0.5695	0.2782	0.0048	1.1045	1.0012	7700	9	2
35	0.5432	0.2781	-0.0296	1.0709	1.001	27000	10	2
36	0.7161	0.2753	0.1695	1.2519	1.0014	4800	11	2
37	0.6915	0.2767	0.1359	1.2245	1.001	21000	12	2
38	0.6578	0.2775	0.0986	1.196	1.001	27000	13	2
39	0.621	0.2738	0.065	1.143	1.0015	3400	14	2
40	0.6007	0.2724	0.0604	1.1344	1.001	27000	15	2
41	0.7656	0.2792	0.2105	1.3127	1.0017	2600	16	2
42	0.7456	0.2789	0.1857	1.2856	1.0025	1300	17	2
43	0.7009	0.2729	0.1486	1.229	1.001	24000	18	2
44	0.6648	0.2746	0.1141	1.1942	1.0011	18000	19	2
45	0.6393	0.2714	0.0863	1.1595	1.0011	13000	20	2
46	0.7912	0.2773	0.2308	1.3228	1.0014	4400	21	2
47	0.7685	0.2747	0.2122	1.2946	1.001	27000	22	2
48	0.7271	0.2749	0.1688	1.2604	1.0011	13000	23	2
49	0.6892	0.2705	0.1451	1.2099	1.001	27000	24	2
50	0.6657	0.2716	0.1135	1.1877	1.001	27000	25	2
51	1.1663	0.2451	0.6908	1.6606	1.0024	1400	1	3
52	1.1387	0.2428	0.6665	1.6257	1.0021	1800	2	3
53	1.102	0.2427	0.6287	1.578	1.0017	2900	3	3
54	1.0613	0.2537	0.5634	1.5649	1.0019	2200	4	3
55	1.0334	0.2503	0.5281	1.5284	1.0011	17000	5	3
56	1.1966	0.2446	0.7228	1.6817	1.0013	6200	6	3
57	1.1718	0.2473	0.6918	1.6712	1.0014	4400	7	3
58	1.13	0.2491	0.6433	1.6266	1.0019	2200	8	3
59	1.0959	0.2559	0.5954	1.6106	1.0011	12000	9	3
60	1.0686	0.2567	0.5656	1.5784	1.0013	5800	10	3
61	1.2487	0.2553	0.7672	1.7832	1.0011	11000	11	3
62	1.2167	0.2521	0.7336	1.7359	1.0016	2900	12	3
63	1.178	0.2512	0.6878	1.683	1.0012	7800	13	3
64	1.1467	0.2558	0.6537	1.6636	1.0012	9300	14	3
65	1.1216	0.2601	0.6155	1.6363	1.0012	8000	15	3
66	1.3141	0.2655	0.8213	1.8638	1.0015	3700	16	3
67	1.2915	0.2658	0.7915	1.8485	1.0012	8000	17	3
68	1.2497	0.2644	0.7476	1.7945	1.0025	1300	18	3
69	1.2058	0.2606	0.7078	1.7421	1.0015	3400	19	3
70	1.1797	0.2671	0.6603	1.7228	1.0021	1700	20	3
71	1.3611	0.2723	0.8582	1.933	1.0036	740	21	3
72	1.3277	0.2717	0.8275	1.8966	1.0016	3200	22	3
73	1.2915	0.2714	0.7882	1.8558	1.0011	14000	23	3
74	1.2557	0.2704	0.7484	1.8098	1.0023	2100	24	3
75	1.2304	0.2727	0.7113	1.8002	1.0012	8800	25	3
76	0.6026	0.4085	-0.2141	1.3849	1.0022	1700	1	4
77	0.5511	0.4066	-0.244	1.3232	1.001	23000	2	4
78	0.4284	0.3997	-0.3515	1.2072	1.0021	1700	3	4
79	0.3431	0.3962	-0.4277	1.1205	1.0009	27000	4	4
80	0.2691	0.3915	-0.5005	1.035	1.0012	9200	5	4
81	0.704	0.3936	-0.0845	1.4502	1.001	23000	6	4
82	0.6345	0.4021	-0.1716	1.3923	1.0023	1400	7	4
83	0.528	0.3936	-0.2553	1.2895	1.003	970	8	4
84	0.4024	0.387	-0.3598	1.151	1.0019	2100	9	4
85	0.3597	0.3844	-0.3908	1.1104	1.0034	820	10	4
86	0.8411	0.3769	0.0781	1.5517	1.0011	12000	11	4
87	0.7687	0.3806	-0.0059	1.4878	1.0011	16000	12	4
88	0.6553	0.3765	-0.0983	1.3721	1.0019	2200	13	4
89	0.5544	0.3657	-0.1618	1.2756	1.001	27000	14	4
90	0.4832	0.3685	-0.2558	1.1976	1.0046	550	15	4
91	0.9573	0.3621	0.2269	1.6436	1.0012	7700	16	4
92	0.8881	0.3576	0.163	1.5643	1.0011	14000	17	4
93	0.772	0.3607	0.0572	1.4717	1.0014	4400	18	4
94	0.6641	0.3441	-0.0191	1.3358	1.0023	1500	19	4
95	0.6062	0.3402	-0.0705	1.274	1.0012	8000	20	4
96	1.0166	0.3511	0.3105	1.686	1.0013	5600	21	4
97	0.9447	0.351	0.2286	1.6198	1.0022	1600	22	4
98	0.8364	0.346	0.1499	1.5101	1.001	27000	23	4
99	0.7198	0.338	0.0631	1.3977	1.0028	1100	24	4
100	0.6618	0.3328	0.0078	1.3267	1.0013	5100	25	4
101	0.9246	0.1716	0.6153	1.2908	1.0011	19000	1	5
102	0.8985	0.1699	0.5905	1.2571	1.001	20000	2	5
103	0.8638	0.1676	0.556	1.2239	1.0012	7000	3	5
104	0.826	0.1606	0.5282	1.164	1.001	27000	4	5
105	0.8092	0.158	0.5198	1.142	1.0014	4900	5	5
106	0.9378	0.1796	0.6111	1.3217	1.0017	2500	6	5
107	0.9144	0.1737	0.604	1.2846	1.0019	2000	7	5
108	0.8746	0.1712	0.5629	1.2409	1.0017	2600	8	5
109	0.8463	0.1669	0.542	1.2008	1.0013	6400	9	5
110	0.8233	0.1622	0.5269	1.166	1.0023	1500	10	5
111	0.9671	0.1865	0.6339	1.3802	1.0013	5000	11	5
112	0.9404	0.1834	0.6177	1.3368	1.0011	16000	12	5
113	0.9034	0.1791	0.5824	1.2926	1.0012	6600	13	5
114	0.8728	0.1717	0.5605	1.2404	1.0015	3500	14	5
115	0.8505	0.1707	0.5447	1.2201	1.0013	6300	15	5
116	0.9972	0.1988	0.6518	1.444	1.0011	11000	16	5
117	0.9852	0.1986	0.6408	1.4247	1.0015	3400	17	5
118	0.9351	0.1886	0.5994	1.3456	1.0011	15000	18	5
119	0.8998	0.1819	0.5754	1.2935	1.0018	2500	19	5
120	0.8813	0.1793	0.5594	1.271	1.0025	1300	20	5
121	1.0332	0.2113	0.6671	1.4975	1.0018	2400	21	5
122	1.0102	0.2059	0.6571	1.4688	1.0026	1200	22	5
123	0.9607	0.1998	0.617	1.4033	1.0014	4400	23	5
124	0.9223	0.1892	0.5919	1.3416	1.0012	8900	24	5
125	0.9021	0.1833	0.5761	1.3052	1.0017	2700	25	5
126	1.1716	1.6009	-1.7822	4.6108	1.0012	8100	1	6
127	1.0308	1.6139	-1.9085	4.5043	1.0012	8800	2	6
128	0.6773	1.5267	-2.0392	4.0372	1.0014	4300	3	6
129	0.3606	1.4183	-2.1831	3.5032	1.0015	3500	4	6
130	0.2239	1.3726	-2.1606	3.3278	1.0017	2700	5	6
131	1.3294	1.6693	-1.7192	4.8948	1.0013	5100	6	6
132	1.1296	1.611	-1.7815	4.6115	1.001	27000	7	6
133	0.7926	1.5646	-1.974	4.1897	1.0018	2200	8	6
134	0.51	1.453	-2.0635	3.7057	1.0011	15000	9	6
135	0.3636	1.3985	-2.1055	3.47	1.0011	13000	10	6
136	1.5083	1.6818	-1.5999	5.0751	1.001	27000	11	6
137	1.3251	1.6449	-1.661	4.8807	1.0011	18000	12	6
138	1.0302	1.6125	-1.8805	4.546	1.0015	3600	13	6
139	0.7142	1.4818	-1.9251	4.0201	1.0011	17000	14	6
140	0.5324	1.3917	-1.8877	3.688	1.001	21000	15	6
141	1.7455	1.6862	-1.4081	5.3489	1.0012	6900	16	6
142	1.5646	1.6844	-1.5248	5.2057	1.0012	8400	17	6
143	1.2626	1.6479	-1.6776	4.8108	1.001	27000	18	6
144	0.9417	1.522	-1.7575	4.3272	1.0011	13000	19	6
145	0.7532	1.467	-1.8516	3.9854	1.0011	14000	20	6
146	1.8454	1.7128	-1.2752	5.5011	1.001	27000	21	6
147	1.6588	1.6752	-1.3861	5.246	1.001	24000	22	6
148	1.3357	1.635	-1.599	4.8508	1.001	27000	23	6
149	1.038	1.537	-1.7211	4.4206	1.001	27000	24	6
150	0.9052	1.4963	-1.7166	4.2586	1.0011	14000	25	6
151	0.7125	0.2779	0.1638	1.2577	1.0015	3600	1	7
152	0.6832	0.2878	0.1183	1.2537	1.0025	1300	2	7
153	0.602	0.2933	0.0158	1.1701	1.0011	12000	3	7
154	0.5302	0.2999	-0.0603	1.1075	1.0013	5200	4	7
155	0.4975	0.3056	-0.1083	1.0864	1.001	22000	5	7
156	0.734	0.2835	0.1721	1.2873	1.0012	8300	6	7
157	0.7041	0.2844	0.1426	1.2669	1.001	27000	7	7
158	0.6422	0.295	0.0577	1.2228	1.0012	8700	8	7
159	0.5696	0.3078	-0.0369	1.1761	1.0011	11000	9	7
160	0.5231	0.3075	-0.0897	1.1202	1.001	27000	10	7
161	0.8022	0.288	0.2341	1.3672	1.0016	2900	11	7
162	0.7576	0.2922	0.175	1.3316	1.0017	2700	12	7
163	0.6887	0.3052	0.0797	1.2852	1.0011	10000	13	7
164	0.6285	0.3067	0.0192	1.2277	1.0012	8600	14	7
165	0.586	0.3158	-0.0417	1.1971	1.001	27000	15	7
166	0.8496	0.2939	0.2613	1.4259	1.0022	1600	16	7
167	0.8057	0.3027	0.2042	1.3961	1.0014	4600	17	7
168	0.7413	0.3049	0.1373	1.3294	1.0014	4300	18	7
169	0.6763	0.3157	0.0471	1.2941	1.0016	3300	19	7
170	0.6231	0.3124	0.0075	1.2412	1.0032	890	20	7
171	0.884	0.2959	0.2966	1.461	1.0029	1000	21	7
172	0.8468	0.298	0.2564	1.4243	1.0012	8000	22	7
173	0.7767	0.3107	0.1677	1.3869	1.0011	16000	23	7
174	0.6996	0.3096	0.0938	1.3065	1.0015	3800	24	7
175	0.6587	0.3157	0.0381	1.2779	1.001	27000	25	7
176	0.329	0.2622	-0.1804	0.8652	1.0014	4100	1	8
177	0.2819	0.265	-0.2263	0.8259	1.0021	1800	2	8
178	0.2137	0.2702	-0.3144	0.762	1.0011	11000	3	8
179	0.1409	0.2726	-0.3909	0.6878	1.002	1800	4	8
180	0.0994	0.2778	-0.4476	0.6505	1.0011	18000	5	8
181	0.3556	0.2656	-0.1635	0.8998	1.0013	5700	6	8
182	0.312	0.2733	-0.2161	0.8736	1.0013	5200	7	8
183	0.2417	0.275	-0.2936	0.8006	1.0013	5200	8	8
184	0.1718	0.2884	-0.38	0.7617	1.0012	6600	9	8
185	0.1319	0.2851	-0.4232	0.7088	1.001	27000	10	8
186	0.4242	0.2915	-0.117	1.04	1.0011	12000	11	8
187	0.3786	0.2956	-0.1766	1.0042	1.0015	3700	12	8
188	0.3064	0.2933	-0.2585	0.9147	1.0014	4200	13	8
189	0.2286	0.2992	-0.3513	0.8421	1.0013	5400	14	8
190	0.192	0.3015	-0.3885	0.8115	1.0011	12000	15	8
191	0.4984	0.3104	-0.0743	1.1521	1.0011	18000	16	8
192	0.4585	0.3166	-0.1289	1.1299	1.0016	3000	17	8
193	0.378	0.3155	-0.2168	1.0401	1.0012	7800	18	8
194	0.3068	0.3079	-0.2792	0.9435	1.001	27000	19	8
195	0.2626	0.3181	-0.3502	0.9238	1.001	23000	20	8
196	0.5473	0.3278	-0.0614	1.2378	1.001	21000	21	8
197	0.5044	0.3241	-0.0981	1.1791	1.001	27000	22	8
198	0.429	0.3275	-0.1882	1.1092	1.0011	14000	23	8
199	0.3494	0.3222	-0.2625	1.0169	1.001	27000	24	8
200	0.3024	0.3197	-0.3079	0.9579	1.001	27000	25	8
201	-1.1006	0.6149	-2.3448	0.0495	1.0011	10000	1	9
202	-1.221	0.6157	-2.4757	-0.0638	1.002	1900	2	9
203	-1.4569	0.6593	-2.7458	-0.2194	1.0031	940	3	9
204	-1.6457	0.6419	-2.9161	-0.3974	1.0012	7800	4	9
205	-1.7828	0.6468	-3.0818	-0.5228	1.0013	5800	5	9
206	-1.038	0.6245	-2.2698	0.117	1.0032	2500	6	9
207	-1.1744	0.6648	-2.4867	0.0277	1.0048	17000	7	9
208	-1.3973	0.6448	-2.6822	-0.1461	1.0015	3600	8	9
209	-1.591	0.6484	-2.8695	-0.338	1.001	19000	9	9
210	-1.6849	0.6359	-2.9351	-0.4384	1.001	27000	10	9
211	-0.9227	0.6001	-2.1449	0.1954	1.0011	16000	11	9
212	-1.0623	0.6186	-2.3131	0.1096	1.0011	15000	12	9
213	-1.2539	0.6297	-2.5212	-0.0522	1.0015	3900	13	9
214	-1.4753	0.6255	-2.7103	-0.2479	1.0019	2000	14	9
215	-1.5738	0.6191	-2.8026	-0.3656	1.0023	1500	15	9
216	-0.8061	0.5827	-1.99	0.2797	1.0021	1700	16	9
217	-0.949	0.612	-2.1735	0.1894	1.0014	4600	17	9
218	-1.1525	0.6087	-2.346	0.0194	1.001	27000	18	9
219	-1.3691	0.6054	-2.5643	-0.1761	1.001	27000	19	9
220	-1.4673	0.6006	-2.6459	-0.2807	1.0015	3900	20	9
221	-0.7777	0.5854	-1.9457	0.333	1.001	20000	21	9
222	-0.8968	0.5999	-2.0975	0.2434	1.0011	13000	22	9
223	-1.0972	0.6081	-2.3009	0.0667	1.0017	2800	23	9
224	-1.309	0.5996	-2.4809	-0.1227	1.0015	3600	24	9
225	-1.4054	0.5753	-2.5275	-0.2648	1.0016	3200	25	9
226	0.6316	0.4574	-0.2811	1.5073	1.0009	27000	1	10
227	0.5897	0.465	-0.3559	1.4772	1.0011	15000	2	10
228	0.5102	0.4719	-0.4503	1.422	1.0009	27000	3	10
229	0.4014	0.4827	-0.5572	1.3318	1.0011	13000	4	10
230	0.3367	0.4899	-0.6645	1.2674	1.0013	5600	5	10
231	0.6852	0.4542	-0.2149	1.5649	1.0012	9700	6	10
232	0.6267	0.4643	-0.31	1.5392	1.0013	5200	7	10
233	0.5438	0.4728	-0.412	1.4599	1.001	23000	8	10
234	0.4401	0.484	-0.5274	1.3737	1.001	27000	9	10
235	0.3808	0.4838	-0.5859	1.3145	1.0011	15000	10	10
