node     50%	sd	2.5%	97.5%	Rhat	n.eff	scen    MA	
1	-0.9329	0.2725	-1.4467	-0.4507	1.0029	11000	1	1
2	-0.943	0.2707	-1.4454	-0.4412	1.0014	27000	2	1
3	-0.946	0.2623	-1.4526	-0.4501	1.0011	15000	3	1
4	-0.9487	0.2616	-1.4551	-0.4625	1.0011	18000	4	1
5	-0.9576	0.2688	-1.4749	-0.4663	1.001	27000	5	1
6	-0.9294	0.2629	-1.4401	-0.436	1.0011	14000	6	1
7	-0.933	0.2606	-1.4375	-0.4488	1.001	27000	7	1
8	-0.9441	0.2749	-1.4476	-0.4512	1.0011	17000	8	1
9	-0.9412	0.2599	-1.4411	-0.461	1.001	27000	9	1
10	-0.9499	0.2638	-1.4529	-0.4592	1.001	27000	10	1
11	-0.9179	0.2618	-1.4241	-0.4331	1.0012	27000	11	1
12	-0.926	0.2616	-1.4253	-0.4394	1.0011	12000	12	1
13	-0.9275	0.273	-1.4421	-0.4316	1.0029	27000	13	1
14	-0.9335	0.2644	-1.4421	-0.4447	1.0012	7800	14	1
15	-0.9419	0.2661	-1.4494	-0.4518	1.0013	5700	15	1
16	-0.9059	0.27	-1.4162	-0.4234	1.0017	19000	16	1
17	-0.912	0.2685	-1.4215	-0.4337	1.0011	11000	17	1
18	-0.9227	0.2625	-1.426	-0.4326	1.001	27000	18	1
19	-0.9269	0.2634	-1.4235	-0.4366	1.001	27000	19	1
20	-0.9318	0.2613	-1.4371	-0.4523	1.001	27000	20	1
21	-0.8979	0.2636	-1.3985	-0.4099	1.0009	27000	21	1
22	-0.9021	0.2602	-1.407	-0.4175	1.001	27000	22	1
23	-0.9119	0.2601	-1.4132	-0.418	1.001	27000	23	1
24	-0.9155	0.2809	-1.4253	-0.4388	1.0102	17000	24	1
25	-0.9235	0.2685	-1.4411	-0.4313	1.0011	16000	25	1
26	-1.4001	0.2158	-1.8585	-1.011	1.001	26000	1	2
27	-1.4281	0.2161	-1.8966	-1.0444	1.0013	5000	2	2
28	-1.459	0.2159	-1.9275	-1.0708	1.0011	9900	3	2
29	-1.4848	0.2171	-1.9501	-1.0995	1.0012	6500	4	2
30	-1.5155	0.214	-1.98	-1.1322	1.0011	15000	5	2
31	-1.3722	0.2194	-1.8473	-0.9748	1.0013	5400	6	2
32	-1.4007	0.2201	-1.873	-1.0082	1.001	27000	7	2
33	-1.4251	0.2159	-1.8945	-1.0433	1.0011	9800	8	2
34	-1.4561	0.2196	-1.9292	-1.0684	1.001	27000	9	2
35	-1.4808	0.219	-1.9534	-1.0935	1.001	27000	10	2
36	-1.346	0.2231	-1.8271	-0.9429	1.001	27000	11	2
37	-1.3691	0.2199	-1.8484	-0.973	1.001	27000	12	2
38	-1.4016	0.2248	-1.8916	-1.0033	1.001	25000	13	2
39	-1.4256	0.219	-1.9064	-1.0382	1.0011	10000	14	2
40	-1.4509	0.2204	-1.9367	-1.0645	1.001	27000	15	2
41	-1.3174	0.2271	-1.8044	-0.9079	1.0011	11000	16	2
42	-1.345	0.2268	-1.8305	-0.9322	1.0015	3700	17	2
